고객ID,고객등급,성별,연령대,지역,가입일,최근문의일,누적문의수,마케팅수신동의,이탈위험도
CUST-10001,SILVER,여,40대,서울,2022-05-08,2022-06-19,5,Y,보통
CUST-10002,GOLD,남,40대,경기,2022-04-10,2022-07-22,24,N,낮음
CUST-10003,GOLD,남,20대,전북,2023-11-24,2024-07-25,13,Y,낮음
CUST-10004,SILVER,남,30대,제주,2020-07-16,2020-09-15,11,N,높음
CUST-10005,SILVER,여,50대,전북,2023-02-22,2023-08-05,5,Y,낮음
CUST-10006,SILVER,여,10대,전남,2023-10-21,2023-11-28,5,N,보통
CUST-10007,SILVER,여,50대,인천,2022-03-28,2022-10-12,9,Y,낮음
CUST-10008,일반,남,30대,광주,2022-03-27,2022-11-10,4,N,높음
CUST-10009,일반,남,30대,경기,2021-10-04,2022-01-24,2,Y,낮음
CUST-10010,SILVER,여,60대 이상,충남,2021-06-08,2021-07-14,1,N,낮음
CUST-10011,일반,여,30대,광주,2021-06-09,2022-01-16,2,Y,보통
CUST-10012,일반,여,20대,경기,2023-05-22,2024-04-03,4,Y,보통
CUST-10013,일반,남,50대,광주,2023-11-23,2024-04-23,3,N,낮음
CUST-10014,일반,여,50대,경기,2023-12-17,2024-04-14,3,N,높음
CUST-10015,일반,여,60대 이상,제주,2021-02-18,2021-02-19,3,Y,낮음
CUST-10016,일반,여,30대,인천,2021-02-24,2021-07-10,1,N,보통
CUST-10017,VIP,남,40대,강원,2020-08-03,2021-01-08,28,N,보통
CUST-10018,일반,여,20대,서울,2023-07-06,2024-07-04,1,N,보통
CUST-10019,GOLD,남,50대,충남,2022-08-01,2023-01-17,8,N,보통
CUST-10020,일반,여,20대,부산,2021-01-01,2021-07-05,4,N,보통
CUST-10021,일반,여,40대,제주,2022-09-08,2023-06-29,1,Y,낮음
CUST-10022,일반,여,20대,광주,2020-08-23,2021-02-08,3,Y,낮음
CUST-10023,일반,여,30대,서울,2023-07-21,2023-07-28,1,Y,보통
CUST-10024,VIP,여,20대,경기,2022-11-13,2023-03-11,18,N,보통
CUST-10025,GOLD,여,30대,경기,2022-09-19,2022-12-16,9,Y,낮음
CUST-10026,GOLD,남,40대,서울,2021-12-25,2022-11-25,9,Y,낮음
CUST-10027,GOLD,여,20대,충남,2020-06-26,2020-07-13,7,Y,낮음
CUST-10028,일반,여,50대,충남,2023-06-05,2023-08-27,2,N,보통
CUST-10029,GOLD,여,40대,부산,2020-08-15,2020-10-30,12,Y,보통
CUST-10030,일반,여,40대,대구,2020-07-17,2020-11-15,4,Y,낮음
CUST-10031,GOLD,여,30대,인천,2020-12-06,2021-07-22,8,N,높음
CUST-10032,일반,여,50대,경기,2020-09-28,2020-10-04,3,Y,보통
CUST-10033,일반,남,40대,경기,2020-03-23,2020-09-21,7,N,낮음
CUST-10034,일반,여,40대,인천,2020-03-11,2020-09-20,3,Y,낮음
CUST-10035,일반,남,20대,경기,2022-03-29,2022-10-30,3,Y,보통
CUST-10036,일반,남,30대,인천,2020-12-01,2021-09-18,3,Y,낮음
CUST-10037,GOLD,여,20대,충남,2021-01-03,2021-11-22,1,Y,낮음
CUST-10038,SILVER,남,40대,충북,2020-01-07,2020-12-02,5,N,높음
CUST-10039,일반,남,30대,대구,2021-11-30,2022-07-11,1,N,낮음
CUST-10040,SILVER,남,40대,서울,2023-03-19,2023-11-23,9,Y,낮음
CUST-10041,GOLD,남,50대,경기,2022-08-31,2023-01-06,22,Y,보통
CUST-10042,일반,여,30대,인천,2023-11-08,2024-11-03,1,Y,보통
CUST-10043,일반,남,20대,대구,2021-11-15,2022-07-27,6,Y,보통
CUST-10044,SILVER,여,20대,충남,2020-04-12,2021-03-18,1,N,높음
CUST-10045,일반,남,20대,경기,2021-02-05,2021-08-11,1,N,낮음
CUST-10046,GOLD,여,20대,대구,2020-04-24,2020-05-08,15,N,높음
CUST-10047,일반,남,50대,서울,2022-02-07,2022-06-13,1,Y,보통
CUST-10048,SILVER,남,30대,광주,2021-06-08,2021-07-15,4,Y,낮음
CUST-10049,일반,여,40대,경기,2022-01-27,2022-10-09,5,N,보통
CUST-10050,SILVER,남,20대,서울,2020-08-26,2021-01-13,2,N,보통
CUST-10051,GOLD,남,20대,광주,2021-09-20,2022-08-05,10,Y,낮음
CUST-10052,SILVER,남,30대,경남,2022-02-24,2022-04-28,5,N,보통
CUST-10053,일반,남,40대,인천,2021-10-19,2022-07-07,3,Y,낮음
CUST-10054,SILVER,여,30대,부산,2021-03-02,2021-04-06,8,Y,낮음
CUST-10055,VIP,남,50대,서울,2020-06-20,2021-05-11,18,Y,높음
CUST-10056,일반,남,10대,경기,2021-03-22,2021-07-05,1,N,보통
CUST-10057,GOLD,남,40대,서울,2023-11-15,2024-04-10,18,Y,낮음
